X,Y,OBJECTID,CFNAME,CFTYPE,CFSUBTYPE,ADDRESS,GNISCODE,COMMENT,Jurisdiction,Community
1161395.29275,1896587.9495,947,Irving Elementary School,School,PubElem,749 S Oakley Blvd,410937,,CHICAGO BD EDUCATION  ,Chicago
1161661.763,1896689.98725,948,University of Illinois at Chicago College of Medicine - Incubator Laboratory Facility,School,HigherEd,2201 W Campbell Park Dr,,,UNIVERSITY OF ILLINOIS,Chicago
1163442.046,1894247.41575,950,Noble Street Charter - UIC College Preparatory,School,PubHigh,1231 S Damen Ave,409049,,CHICAGO BD EDUCATION  ,Chicago
1149525.95,1894625.66325,951,Frazier Preparatory Academy Elementary School,School,PubElem,4027 W Grenshaw St,1826905,,CHICAGO BD EDUCATION  ,Chicago
1149525.95,1894625.66325,952,Frazier International Magnet Elementary School,School,PubElem,4027 W Grenshaw St,1826905,,CHICAGO BD EDUCATION  ,Chicago
1161823.7035,1895032.509,953,Nancy B. Jefferson Alternative School,School,PrivSchool,1100 S Hamilton Ave,,,COUNTY OF COOK        ,Chicago
1153283.31975,1893373.6855,954,Lawndale Elementary Community Academy,School,PubElem,3500 W Douglas Blvd,1830916,Additional GNIS Code of 410120 and 1830916,CHICAGO BD EDUCATION  ,Chicago
1150838.433,1891555.28025,955,KIPP Ascend Academy Charter Elementary School,School,PubElem,1616 S Avers Ave,,,CHICAGO BD EDUCATION  ,Chicago
1150838.433,1891555.28025,956,Penn Elementary School,School,PubElem,1616 S Avers Ave,415526,,CHICAGO BD EDUCATION  ,Chicago
1148550.4195,1890639.72775,958,Mason Elementary School,School,PubElem,4217 W 18th St,413105,,CHICAGO BD EDUCATION  ,Chicago
1148410.69075,1890933.1585,959,Legacy Charter Elementary School,School,PubElem,4217 W 18th St,,,CHICAGO BD EDUCATION  ,Chicago
1155829.3865,1892840.4875,961,Johnson Elementary School,School,PubElem,1420 S Albany Ave,411180,,CHICAGO BD EDUCATION  ,Chicago
