RCDTS,Level,School Name,District,City,County,District Type,School Type,Grades Served,Summative Designation,Summative Designation: Student Group(s),Title I Status,State Senate District,State House District,# Student Enrollment,% Student Enrollment -Male,% Student Enrollment - Female,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Two or More Races,% Student Enrollment - Children with Disabilities,% Student Enrollment - IEP,% Student Enrollment - Never EL,% Student Enrollment - Low Income,Latitude,Longitude
48-072-0680-02-0000,District,,Oak Grove SD 68  Bartonville,Bartonville,Peoria,Elementary District,,,,,,,,278.0,48.9,51.1,75.2,6.8,7.2,10.8,21.2,17.3,,37.1,40.650202,-89.652011
48-072-0680-02-2002,School,Oak Grove School,Oak Grove SD 68  Bartonville,Bartonville,Peoria,Elementary District,Elementary School,PK - 8,Commendable,All Students,Title 1 Schoolwide,46.0,91.0,278.0,48.9,51.1,75.2,6.8,7.2,10.8,21.2,17.3,,37.1,40.636842,-89.688211
34-049-0680-02-0000,District,,Oak Grove SD 68 Green Oaks,Libertyville,Lake,Elementary District,,,,,,,,896.0,,50.1,56.4,2.3,4.0,9.9,12.2,11.0,84.2,,42.282996,-87.953339
34-049-0680-02-2001,School,Oak Grove Elem School,Oak Grove SD 68 Green Oaks,Libertyville,Lake,Elementary District,Elementary School,K - 8,Commendable,All Students,Not a Participant in Title One Program,30.0,59.0,896.0,,50.1,56.4,2.3,4.0,9.9,12.2,11.0,84.2,,42.30224,-87.91368
07-016-2290-16-0000,District,,Oak Lawn CHSD 229,Oak Lawn,Cook,High School District,,,,,,,,1793.0,53.5,,42.8,7.0,43.1,1.3,21.8,13.2,55.0,63.3,41.719979,-87.750562
07-016-2290-16-0001,School,Oak Lawn Comm High School,Oak Lawn CHSD 229,Oak Lawn,Cook,High School District,High School,9 - 12,Commendable,All Students,Title 1 Schoolwide,18.0,36.0,1793.0,53.5,,42.8,7.0,43.1,1.3,21.8,13.2,55.0,63.3,41.722144,-87.770516
07-016-1230-02-0000,District,,Oak Lawn-Hometown SD 123,Oak Lawn,Cook,Elementary District,,,,,,,,3355.0,50.8,49.2,36.9,7.6,49.5,2.7,18.1,13.6,67.0,48.9,41.719979,-87.750562
07-016-1230-02-2007,School,Hometown Elem School,Oak Lawn-Hometown SD 123,Hometown,Cook,Elementary District,Elementary School,K - 5,Commendable,All Students,Title 1 Schoolwide,16.0,31.0,325.0,48.6,51.4,28.3,8.0,59.1,,18.8,14.8,68.6,67.1,41.7310343,-87.7319496
07-016-1230-02-2003,School,J Covington Elem School,Oak Lawn-Hometown SD 123,Oak Lawn,Cook,Elementary District,Elementary School,K - 5,Commendable,All Students,Title 1 Schoolwide,16.0,31.0,478.0,51.3,48.7,34.1,3.6,59.0,,15.7,12.6,62.6,56.9,41.726102,-87.751376
07-016-1230-02-2006,School,J M Hannum Elem School,Oak Lawn-Hometown SD 123,Oak Lawn,Cook,Elementary District,Elementary School,K - 5,Commendable,All Students,Title 1 Schoolwide,18.0,36.0,384.0,50.8,49.2,28.4,12.2,47.7,,15.6,10.4,63.3,51.0,41.7142449,-87.7279582
07-016-1230-02-2008,School,Kolmar Avenue Elem School,Oak Lawn-Hometown SD 123,Oak Lawn,Cook,Elementary District,Elementary School,K - 5,Commendable,All Students,Title 1 Ineligible Due to Ranking,18.0,36.0,406.0,51.5,48.5,51.0,3.4,39.4,,19.2,14.8,75.9,32.0,41.7031298,-87.7333703
07-016-1230-02-1001,School,Oak Lawn-Hometown Middle Sch,Oak Lawn-Hometown SD 123,Oak Lawn,Cook,Elementary District,Middle/Junior High School,6 - 8,Commendable,All Students,Title 1 Schoolwide,18.0,36.0,1076.0,49.5,50.5,36.8,9.8,47.8,2.7,17.7,12.2,66.0,48.4,41.7118289,-87.753361
07-016-1230-02-3001,School,School District 123 Early Learning Center,Oak Lawn-Hometown SD 123,Oak Lawn,Cook,Elementary District,Special School,PK,,,Title 1 Ineligible Due to Ranking,18.0,36.0,235.0,52.3,47.7,37.4,5.5,51.5,,29.4,29.4,63.8,41.7,41.719979,-87.750562
07-016-1230-02-2010,School,Sward Elem School,Oak Lawn-Hometown SD 123,Oak Lawn,Cook,Elementary District,Elementary School,K - 5,Commendable,All Students,Title 1 Ineligible Due to Ranking,18.0,36.0,451.0,53.7,46.3,40.6,7.3,46.3,2.9,16.4,10.4,69.8,45.2,41.7131383,-87.7448195
06-016-2000-13-0000,District,,Oak Park - River Forest SD 200,Oak Park,Cook,High School District,,,,,,,,3276.0,51.6,46.3,52.3,17.0,16.3,10.8,30.7,14.5,94.1,18.0,28.941683,76.034759
06-016-2000-13-0001,School,Oak Park & River Forest High Sch,Oak Park - River Forest SD 200,Oak Park,Cook,High School District,High School,9 - 12,Commendable,All Students,Title 1 Targeted,39.0,78.0,3276.0,51.6,46.3,52.3,17.0,16.3,10.8,30.7,14.5,94.1,18.0,41.8901973,-87.7887562
06-016-0970-02-0000,District,,Oak Park ESD 97,Oak Park,Cook,Elementary District,,,,,,,,5501.0,51.1,48.0,52.4,15.5,15.3,13.2,27.3,18.0,94.3,18.6,28.941683,76.034759
06-016-0970-02-2007,School,Abraham Lincoln Elem School,Oak Park ESD 97,Oak Park,Cook,Elementary District,Elementary School,K - 5,Commendable,All Students,Title 1 Ineligible Due to Ranking,4.0,8.0,558.0,51.6,,55.9,12.0,17.2,11.8,22.8,15.4,94.6,16.8,41.8681481,-87.7956624
06-016-0970-02-1003,School,Gwendolyn Brooks Middle School,Oak Park ESD 97,Oak Park,Cook,Elementary District,Middle/Junior High School,6 - 8,Commendable,All Students,Title 1 Targeted,39.0,78.0,927.0,50.1,48.5,46.8,19.2,18.9,12.6,28.9,14.2,93.6,20.9,41.882,-87.797778
06-016-0970-02-2009,School,Horace Mann Elem School,Oak Park ESD 97,Oak Park,Cook,Elementary District,Elementary School,K - 5,Commendable,All Students,Title 1 Ineligible Due to Ranking,39.0,78.0,399.0,55.4,,63.9,6.3,10.3,12.3,24.1,16.8,98.0,4.0,41.9025881,-87.7984945
06-016-0970-02-2006,School,Irving Elem School,Oak Park ESD 97,Oak Park,Cook,Elementary District,Elementary School,K - 5,Exemplary,All Students,Title 1 Targeted,4.0,8.0,501.0,50.7,,52.5,15.0,15.4,12.6,28.3,21.8,94.0,21.0,41.86837,-87.78367
06-016-0970-02-2008,School,Longfellow Elem School,Oak Park ESD 97,Oak Park,Cook,Elementary District,Elementary School,PK - 5,Exemplary,All Students,Title 1 Targeted,39.0,78.0,573.0,,50.6,48.3,16.8,18.0,14.8,31.8,26.4,95.3,20.9,41.875838,-87.782191
06-016-0970-02-2005,School,Oliver W Holmes Elem School,Oak Park ESD 97,Oak Park,Cook,Elementary District,Elementary School,K - 5,Exemplary,All Students,Title 1 Targeted,39.0,78.0,471.0,53.1,,47.6,16.8,14.6,14.6,21.4,12.7,88.1,25.1,41.89531,-87.79756
06-016-0970-02-1004,School,Percy Julian Middle School,Oak Park ESD 97,Oak Park,Cook,Elementary District,Middle/Junior High School,6 - 8,Commendable,All Students,Title 1 Targeted,39.0,78.0,927.0,49.0,49.4,55.0,15.4,14.2,12.2,32.3,17.6,94.7,18.0,41.8811131,-87.7838933
06-016-0970-02-2010,School,Whittier Elem School,Oak Park ESD 97,Oak Park,Cook,Elementary District,Elementary School,PK - 5,Exemplary,All Students,Title 1 Targeted,39.0,78.0,447.0,52.3,,48.8,19.0,13.9,15.9,31.1,25.5,95.5,21.5,41.8989105,-87.7820046
06-016-0970-02-2001,School,William Beye Elem School,Oak Park ESD 97,Oak Park,Cook,Elementary District,Elementary School,K - 5,Exemplary,All Students,Title 1 Ineligible Due to Ranking,39.0,78.0,370.0,53.5,,59.2,13.0,13.2,11.4,17.8,12.4,94.3,14.9,41.8909257,-87.7827132
06-016-0970-02-2003,School,William Hatch Elem School,Oak Park ESD 97,Oak Park,Cook,Elementary District,Elementary School,PK - 5,Commendable,All Students,Title 1 Ineligible Due to Ranking,39.0,78.0,328.0,50.0,,52.7,18.0,12.2,15.2,25.3,19.2,95.7,17.4,41.9047925,-87.783163
13-095-0010-04-0000,District,,Oakdale CCSD 1,Oakdale,Washington,Elementary District,,,,,,,,56.0,50.0,50.0,,,,,,,,32.1,38.261816,-89.507773
13-095-0010-04-2001,School,Oakdale Grade School,Oakdale CCSD 1,Oakdale,Washington,Elementary District,Elementary School,K - 8,Commendable,All Students,Not a Participant in Title One Program,58.0,115.0,56.0,50.0,50.0,,,,,,,,32.1,38.260796,-89.500372
11-015-0050-26-0000,District,,Oakland CUSD 5,Oakland,Coles,Unit District,,,,,,,,243.0,51.0,49.0,97.9,,,,16.5,16.5,100.0,39.9,41.822498,-87.602288
11-015-0050-26-2001,School,Lake Crest Elem School,Oakland CUSD 5,Oakland,Coles,Unit District,Elementary School,PK - 8,Commendable,All Students,Title 1 Targeted,51.0,102.0,184.0,54.3,45.7,,,,,18.5,18.5,100.0,46.7,39.657769,-88.0210841
11-015-0050-26-0002,School,Oakland High School,Oakland CUSD 5,Oakland,Coles,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Eligible but Not Served,51.0,102.0,59.0,40.7,59.3,94.9,,,,,,100.0,18.6,39.65865,-88.02142
54-092-0760-26-0000,District,,Oakwood CUSD 76,Oakwood,Vermilion,Unit District,,,,,,,,818.0,47.2,52.8,88.6,,4.5,5.3,11.7,11.7,99.6,50.6,40.113604,-87.778207
54-092-0760-26-2003,School,Oakwood Grade School,Oakwood CUSD 76,Oakwood,Vermilion,Unit District,Elementary School,PK - 8,Targeted,Children with Disabilities,Title 1 Schoolwide,52.0,104.0,569.0,45.9,54.1,87.9,,3.5,7.4,14.1,14.1,100.0,50.6,40.112,-87.7752
54-092-0760-26-0001,School,Oakwood High School,Oakwood CUSD 76,Fithian,Vermilion,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Eligible but Not Served,52.0,104.0,249.0,50.2,49.8,90.4,,6.8,,6.4,6.4,98.8,50.6,40.1130957,-87.8281721
12-017-0040-26-0000,District,,Oblong CUSD 4,Oblong,Crawford,Unit District,,,,,,,,532.0,56.0,44.0,96.2,,,,21.1,20.9,,55.3,39.001832,-87.908898
12-017-0040-26-2002,School,Oblong Elem School,Oblong CUSD 4,Oblong,Crawford,Unit District,Elementary School,PK - 8,Commendable,All Students,Title 1 Schoolwide,51.0,102.0,372.0,56.7,43.3,97.3,,,,23.9,23.7,100.0,59.1,39.00088,-87.91475
12-017-0040-26-0001,School,Oblong High School,Oblong CUSD 4,Oblong,Crawford,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Schoolwide,51.0,102.0,160.0,54.4,45.6,93.8,,,,14.4,14.4,,46.3,38.99583,-87.90924
17-053-4350-04-0000,District,,Odell CCSD 435,Odell,Livingston,Elementary District,,,,,,,,132.0,46.2,53.8,97.7,,,,34.8,28.8,,85.6,41.005905,-88.523551
17-053-4350-04-2001,School,Odell Grade School,Odell CCSD 435,Odell,Livingston,Elementary District,Elementary School,PK - 8,Commendable,All Students,Title 1 Targeted,53.0,106.0,132.0,46.2,53.8,97.7,,,,34.8,28.8,,85.6,41.0029657,-88.5207163
13-058-7220-26-0000,District,,Odin PSD 722,Odin,Marion,Unit District,,,,,,,,254.0,50.4,49.6,91.7,,,6.3,26.4,25.6,100.0,68.5,38.6171441,-89.0526737
13-058-7220-26-0001,School,Odin Attendance Center 9-12,Odin PSD 722,Odin,Marion,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Schoolwide,55.0,110.0,66.0,60.6,39.4,92.4,,,,18.2,18.2,100.0,54.5,38.616076,-89.055075
13-058-7220-26-2001,School,Odin Attendance Center K-8,Odin PSD 722,Odin,Marion,Unit District,Elementary School,PK - 8,Targeted,Children with Disabilities,Title 1 Schoolwide,55.0,110.0,188.0,46.8,53.2,91.5,,,7.4,29.3,28.2,100.0,73.4,38.616076,-89.055075
35-050-1250-02-0000,District,,Oglesby ESD 125,Oglesby,La Salle,Elementary District,,,,,,,,445.0,50.3,49.7,75.5,,17.3,,17.8,17.1,98.0,48.8,41.299189,-89.06811
35-050-1250-02-2002,School,Lincoln Elem School,Oglesby ESD 125,Oglesby,La Salle,Elementary District,Elementary School,PK - 5,Commendable,All Students,Title 1 Schoolwide,38.0,76.0,330.0,50.0,50.0,74.5,,17.9,,17.9,17.3,97.6,49.7,41.30587,-89.07064
35-050-1250-02-2001,School,Washington Elem School,Oglesby ESD 125,Oglesby,La Salle,Elementary District,Elementary School,6 - 8,Commendable,All Students,Title 1 Eligible but Not Served,38.0,76.0,115.0,51.3,48.7,78.3,,,,17.4,16.5,,46.1,41.295429,-89.063549
28-006-0170-04-0000,District,,Ohio CCSD 17,Ohio,Bureau,Elementary District,,,,,,,,72.0,44.4,55.6,100.0,,,,31.9,26.4,,59.7,41.557557,-89.461597
28-006-0170-04-2001,School,Ohio Com Cons Grade School,Ohio CCSD 17,Ohio,Bureau,Elementary District,Elementary School,K - 8,Commendable,All Students,Title 1 Schoolwide,37.0,73.0,72.0,44.4,55.6,100.0,,,,31.9,26.4,,59.7,41.558185,-89.459736
28-006-5050-16-0000,District,,Ohio CHSD 505,Ohio,Bureau,High School District,,,,,,,,22.0,45.5,54.5,,,,,,,100.0,,41.557557,-89.461597
28-006-5050-16-0001,School,Ohio Community High School,Ohio CHSD 505,Ohio,Bureau,High School District,High School,9 - 12,,,Title 1 Schoolwide,37.0,73.0,22.0,45.5,54.5,,,,,,,100.0,,41.55837,-89.45954
11-070-3020-26-0000,District,,Okaw Valley CUSD 302,Bethany,Moultrie,Unit District,,,,,,,,441.0,50.1,49.9,96.4,,,,14.7,10.7,,52.2,39.6454775,-88.7367411
11-070-3020-26-2001,School,Okaw Valley Elementary School,Okaw Valley CUSD 302,Bethany,Moultrie,Unit District,Elementary School,PK - 4,Commendable,All Students,Title 1 Schoolwide,54.0,107.0,170.0,50.0,50.0,97.6,,,,20.6,19.4,100.0,55.3,39.64787,-88.73903
11-070-3020-26-0001,School,Okaw Valley High School,Okaw Valley CUSD 302,Bethany,Moultrie,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Eligible but Not Served,54.0,107.0,153.0,53.6,46.4,94.1,,,,10.5,,100.0,51.0,39.640907,-88.742048
11-070-3020-26-1001,School,Okaw Valley Middle School,Okaw Valley CUSD 302,Findlay,Moultrie,Unit District,Middle/Junior High School,5 - 8,Commendable,All Students,Title 1 Eligible but Not Served,54.0,107.0,118.0,45.8,54.2,97.5,,,,11.9,,,49.2,39.522281,-88.760475
17-064-0160-26-0000,District,,Olympia CUSD 16,Stanford,McLean,Unit District,,,,,,,,1724.0,50.1,49.9,89.2,1.0,4.3,5.0,22.6,15.4,98.8,41.3,38.675409,-88.41478
17-064-0160-26-0009,School,Olympia High School,Olympia CUSD 16,Stanford,McLean,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Ineligible Due to Ranking,44.0,87.0,490.0,53.1,46.9,91.4,,3.3,3.3,22.0,10.6,,34.3,40.395809,-89.247412
17-064-0160-26-1001,School,Olympia Middle School,Olympia CUSD 16,Stanford,McLean,Unit District,Middle/Junior High School,6 - 8,Commendable,All Students,Title 1 Ineligible Due to Ranking,44.0,87.0,375.0,43.5,56.5,90.4,,4.0,3.7,29.1,17.9,98.4,44.5,40.3966794,-89.2477392
17-064-0160-26-2003,School,Olympia North Elem Sch,Olympia CUSD 16,Danvers,McLean,Unit District,Elementary School,PK - 5,Commendable,All Students,Title 1 Ineligible Due to Ranking,44.0,87.0,278.0,50.4,49.6,82.7,,7.9,7.6,16.5,14.0,,39.9,40.529498,-89.170954
17-064-0160-26-2002,School,Olympia South Elem Sch,Olympia CUSD 16,Atlanta,McLean,Unit District,Elementary School,PK - 5,Targeted,Children with Disabilities,Title 1 Schoolwide,44.0,87.0,327.0,50.2,49.8,88.1,,,8.0,22.9,19.0,,54.1,40.264562,-89.235262
17-064-0160-26-2006,School,Olympia West Elem Sch,Olympia CUSD 16,Minier,McLean,Unit District,Elementary School,PK - 5,Exemplary,All Students,Title 1 Ineligible Due to Ranking,44.0,87.0,254.0,53.5,46.5,91.3,,4.7,3.9,20.5,18.1,,35.0,40.397315442435,-89.337653505033
13-041-0050-04-0000,District,,Opdyke-Belle-Rive CCSD 5,Opdyke,Jefferson,Elementary District,,,,,,,,132.0,57.6,42.4,94.7,,,,18.2,18.2,,66.7,38.258598,-88.788435
13-041-0050-04-2002,School,Opdyke-Belle Rive Grade Sch,Opdyke-Belle-Rive CCSD 5,Opdyke,Jefferson,Elementary District,Elementary School,PK - 8,Comprehensive,All Students,Title 1 Schoolwide,58.0,116.0,132.0,57.6,42.4,94.7,,,,18.2,18.2,,66.7,38.262844,-88.788976
08-089-2030-26-0000,District,,Orangeville CUSD 203,Orangeville,Stephenson,Unit District,,,,,,,,328.0,53.4,46.6,93.3,,3.4,,17.7,14.3,,29.0,42.4686529,-89.646624
08-089-2030-26-2003,School,Orangeville Elem School,Orangeville CUSD 203,Orangeville,Stephenson,Unit District,Elementary School,PK - 5,Commendable,All Students,Title 1 Schoolwide,45.0,89.0,155.0,56.8,43.2,91.0,,,,20.6,19.4,100.0,36.1,42.464773,-89.645637
08-089-2030-26-0001,School,Orangeville High School,Orangeville CUSD 203,Orangeville,Stephenson,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Eligible but Not Served,45.0,89.0,109.0,45.9,54.1,94.5,,,,12.8,9.2,,15.6,42.46751,-89.64206
08-089-2030-26-1001,School,Orangeville Jr High School,Orangeville CUSD 203,Orangeville,Stephenson,Unit District,Middle/Junior High School,6 - 8,Commendable,All Students,Title 1 Eligible but Not Served,45.0,89.0,64.0,57.8,42.2,,,,,18.8,,100.0,34.4,42.46751,-89.64206
47-071-2200-26-0000,District,,Oregon CUSD 220,Oregon,Ogle,Unit District,,,,,,,,1455.0,51.1,48.9,82.3,1.6,11.5,3.8,18.9,16.6,96.7,49.4,42.014606,-89.332507
47-071-2200-26-0001,School,Oregon  Jr/Sr High School,Oregon CUSD 220,Oregon,Ogle,Unit District,High School,7 - 12,Commendable,All Students,Title 1 Eligible but Not Served,45.0,89.0,615.0,52.4,47.6,80.3,,13.8,3.9,20.8,15.9,95.3,47.8,45.32024,-122.560809
47-071-2200-26-2006,School,Oregon Elem Sch,Oregon CUSD 220,Oregon,Ogle,Unit District,Elementary School,PK - 6,Commendable,All Students,Title 1 Targeted,45.0,89.0,840.0,50.2,49.8,83.8,1.9,9.8,3.8,17.5,17.0,97.7,50.6,42.0135171,-89.3449262
28-037-2230-26-0000,District,,Orion CUSD 223,Orion,Henry,Unit District,,,,,,,,948.0,52.8,47.2,95.0,,1.6,1.8,18.5,16.5,99.7,20.5,20.444621667,-87.727601111
28-037-2230-26-2002,School,C R Hanna Elem School,Orion CUSD 223,Orion,Henry,Unit District,Elementary School,PK - 5,Exemplary,All Students,Title 1 Targeted,36.0,71.0,428.0,50.5,49.5,96.0,,,,16.8,16.8,,22.9,41.3497,-90.3741
28-037-2230-26-0001,School,Orion High School,Orion CUSD 223,Orion,Henry,Unit District,High School,9 - 12,Exemplary,All Students,Title 1 Eligible but Not Served,36.0,71.0,278.0,55.4,44.6,93.2,,,,19.1,12.6,,17.6,41.3535767,-90.3658787
28-037-2230-26-1003,School,Orion Middle School,Orion CUSD 223,Orion,Henry,Unit District,Middle/Junior High School,6 - 8,Commendable,All Students,Title 1 Eligible but Not Served,36.0,71.0,242.0,54.1,45.9,95.5,,,,20.7,20.2,,19.4,41.35122,-90.37396
07-016-1350-02-0000,District,,Orland SD 135,Orland Park,Cook,Elementary District,,,,,,,,5127.0,51.4,48.6,69.6,6.5,14.9,3.6,21.8,15.9,72.2,23.7,41.623192,-87.851282
07-016-1350-02-2012,School,Centennial School,Orland SD 135,Orland Park,Cook,Elementary District,Elementary School,PK - 2,Commendable,All Students,Title 1 Targeted,18.0,35.0,481.0,54.3,45.7,75.1,6.7,10.2,4.4,35.1,32.4,77.1,20.8,41.6172805,-87.8536601
07-016-1350-02-1006,School,Century Junior High School,Orland SD 135,Orland Park,Cook,Elementary District,Middle/Junior High School,6 - 8,Commendable,All Students,Title 1 Targeted,14.0,27.0,659.0,49.8,50.2,66.6,9.7,11.8,3.3,22.3,14.6,74.4,19.6,41.5994314,-87.8840379
07-016-1350-02-2001,School,High Point Elem School,Orland SD 135,Orland Park,Cook,Elementary District,Elementary School,3 - 5,Exemplary,All Students,Title 1 Targeted,14.0,27.0,526.0,49.4,50.6,70.7,4.9,14.6,4.2,14.3,10.6,78.5,22.2,41.620791,-87.862175
07-016-1350-02-1005,School,Jerling Junior High School,Orland SD 135,Orland Park,Cook,Elementary District,Middle/Junior High School,6 - 8,Commendable,All Students,Title 1 Targeted,14.0,27.0,648.0,54.0,46.0,76.4,,14.4,2.8,21.1,11.9,64.7,21.3,41.6161129,-87.83527
07-016-1350-02-2008,School,Liberty Elem School,Orland SD 135,Orland Park,Cook,Elementary District,Elementary School,3 - 5,Commendable,All Students,Title 1 Targeted,14.0,27.0,606.0,52.1,47.9,71.8,,18.2,3.5,21.6,13.7,65.8,27.2,41.6136,-87.83476
07-016-1350-02-2013,School,Meadow Ridge School,Orland SD 135,Orland Park,Cook,Elementary District,Elementary School,3 - 5,Commendable,All Students,Title 1 Targeted,14.0,27.0,553.0,52.4,47.6,64.6,12.5,10.1,5.1,28.0,21.3,75.6,21.0,41.599526,-87.8856277
07-016-1350-02-2010,School,Orland Center School,Orland SD 135,Orland Park,Cook,Elementary District,Elementary School,PK - 2,Commendable,All Students,Title 1 Targeted,14.0,27.0,317.0,50.5,49.5,64.7,12.3,13.9,,12.3,10.1,79.2,24.6,41.6156,-87.8498
07-016-1350-02-1004,School,Orland Jr High School,Orland SD 135,Orland Park,Cook,Elementary District,Middle/Junior High School,6 - 8,Commendable,All Students,Title 1 Targeted,14.0,27.0,514.0,48.1,51.9,66.0,6.4,20.4,2.7,18.9,9.3,70.4,23.0,41.6197238,-87.8619067
07-016-1350-02-2002,School,Orland Park Elem School,Orland SD 135,Orland Park,Cook,Elementary District,Elementary School,PK - 2,Exemplary,All Students,Title 1 Targeted,18.0,35.0,332.0,49.4,50.6,62.3,5.4,21.4,5.1,10.8,8.4,70.8,28.6,41.630725,-87.862698
07-016-1350-02-2007,School,Prairie Elem School,Orland SD 135,Orland Park,Cook,Elementary District,Elementary School,PK - 2,Commendable,All Students,Title 1 Targeted,18.0,35.0,491.0,53.2,46.8,72.9,3.5,16.3,2.4,26.7,24.6,70.3,32.2,41.633569,-87.820906
35-050-1410-02-0000,District,,Ottawa ESD 141,Ottawa,La Salle,Elementary District,,,,,,,,1740.0,51.4,48.6,70.9,3.1,19.3,5.5,24.9,22.6,90.7,56.8,21.1484,-86.867
35-050-1410-02-2009,School,Central Intermediate School,Ottawa ESD 141,Ottawa,La Salle,Elementary District,Elementary School,5 - 6,Commendable,All Students,Title 1 Schoolwide,38.0,76.0,339.0,51.0,49.0,72.6,,18.9,4.4,21.5,17.4,90.6,55.8,41.322102,-88.828524
35-050-1410-02-2004,School,Jefferson Elem School,Ottawa ESD 141,Ottawa,La Salle,Elementary District,Elementary School,PK - 4,Commendable,All Students,Title 1 Schoolwide,38.0,76.0,267.0,48.3,51.7,65.9,5.6,22.8,,30.3,27.7,87.6,64.8,41.357174,-88.841736
35-050-1410-02-2006,School,Lincoln Elem School,Ottawa ESD 141,Ottawa,La Salle,Elementary District,Elementary School,PK - 4,Commendable,All Students,Title 1 Schoolwide,38.0,76.0,446.0,54.3,45.7,64.6,2.5,24.4,7.6,24.9,24.4,90.6,65.0,41.34593,-88.856294
35-050-1410-02-2005,School,McKinley Elem School,Ottawa ESD 141,Ottawa,La Salle,Elementary District,Elementary School,PK - 4,Commendable,All Students,Title 1 Schoolwide,38.0,76.0,343.0,52.2,47.8,81.3,,10.8,4.1,27.4,25.9,93.9,43.4,41.325131,-88.839301
35-050-1410-02-1009,School,Shepherd Middle School,Ottawa ESD 141,Ottawa,La Salle,Elementary District,Middle/Junior High School,7 - 8,Targeted,Children with Disabilities,Title 1 Schoolwide,38.0,76.0,345.0,49.6,50.4,71.0,3.8,18.6,5.2,21.4,18.0,90.4,54.2,41.3238,-88.82883
35-050-1400-17-0000,District,,Ottawa Twp HSD 140,Ottawa,La Salle,High School District,,,,,,,,1193.0,51.3,48.7,76.8,1.7,16.8,3.6,21.3,17.4,92.6,34.9,21.1484,-86.867
35-050-1400-17-0001,School,Ottawa Township High School,Ottawa Twp HSD 140,Ottawa,La Salle,High School District,High School,9 - 12,Commendable,All Students,Title 1 Schoolwide,38.0,76.0,1193.0,51.3,48.7,76.8,1.7,16.8,3.6,21.3,17.4,92.6,34.9,41.3454502,-88.8372553
05-016-0150-04-0000,District,,Palatine CCSD 15,Palatine,Cook,Elementary District,,,,,,,,11249.0,52.2,47.8,40.1,4.2,33.5,4.1,22.8,14.3,58.6,32.1,42.110415,-88.043769
05-016-0150-04-1014,School,Carl Sandburg Middle School,Palatine CCSD 15,Rolling Meadows,Cook,Elementary District,Middle/Junior High School,6 - 8,Commendable,All Students,Title 1 Schoolwide,27.0,53.0,466.0,49.6,50.4,38.4,3.0,47.6,3.6,23.2,13.1,46.8,49.1,42.07475,-88.01368
05-016-0150-04-2003,School,Central Road Elem School,Palatine CCSD 15,Rolling Meadows,Cook,Elementary District,Elementary School,PK - 5,Exemplary,All Students,Title 1 Ineligible Due to Ranking,27.0,53.0,519.0,53.0,47.0,39.1,,6.2,4.6,14.5,7.5,56.5,11.8,42.067226,-88.026064
05-016-0150-04-2023,School,Frank C Whiteley Elem School,Palatine CCSD 15,Hoffman Estates,Cook,Elementary District,Elementary School,K - 5,Commendable,All Students,Title 1 Ineligible Due to Ranking,26.0,51.0,608.0,54.4,45.6,52.8,3.1,8.9,5.3,20.4,12.0,74.2,14.3,42.102464,-88.1034371
05-016-0150-04-2013,School,Gray M Sanborn Elem School,Palatine CCSD 15,Palatine,Cook,Elementary District,Elementary School,PK - 5,Targeted,English Learner,Title 1 Schoolwide,26.0,51.0,584.0,50.5,49.5,37.2,9.9,37.8,,20.5,14.4,60.3,40.1,42.1121411,-88.0380843
05-016-0150-04-2006,School,Hunting Ridge Elem School,Palatine CCSD 15,Palatine,Cook,Elementary District,Elementary School,K - 5,Commendable,All Students,Title 1 Ineligible Due to Ranking,26.0,51.0,595.0,54.3,45.7,54.8,8.1,11.1,,19.2,14.1,66.6,26.4,42.0955387,-88.0701471
05-016-0150-04-2001,School,Jane Addams Elem School,Palatine CCSD 15,Palatine,Cook,Elementary District,Elementary School,K - 5,Commendable,All Students,Title 1 Schoolwide,27.0,54.0,571.0,52.2,47.8,26.3,5.1,57.3,,20.5,15.6,44.7,45.2,42.1239489,-88.0177243
05-016-0150-04-2005,School,Kimball Hill Elem School,Palatine CCSD 15,Rolling Meadows,Cook,Elementary District,Elementary School,PK - 5,Commendable,All Students,Title 1 Schoolwide,27.0,53.0,500.0,51.2,48.8,33.2,2.2,56.2,3.6,19.0,14.4,57.6,39.0,42.0803734,-88.0152735
05-016-0150-04-2007,School,Lake Louise Elem School,Palatine CCSD 15,Palatine,Cook,Elementary District,Elementary School,PK - 5,Commendable,All Students,Title 1 Schoolwide,27.0,54.0,468.0,50.2,49.8,22.9,4.9,61.5,,18.6,13.7,40.2,52.8,42.1194128,-88.00821
05-016-0150-04-2008,School,Lincoln Elementary School,Palatine CCSD 15,Palatine,Cook,Elementary District,Elementary School,K - 5,Commendable,All Students,Title 1 Schoolwide,26.0,51.0,673.0,50.5,49.5,29.6,6.5,51.6,4.3,24.7,17.2,47.3,48.0,42.130661,-88.0357608
