school_id,school_name,district,county,school_type,grades_served,year,y_ela_prof,y_math_prof,y_chronic_abs,y_grad_4yr,Latitude,Longitude
05-016-0360-02-1005,Carleton W Washburne School,Winnetka SD 36,Cook,Middle/Junior High School,8-Jul,2025,80.5,79.2,13.7,,42.10531,-87.75062
05-016-0360-02-2001,Crow Island Elem School,Winnetka SD 36,Cook,Elementary School,K - 4,2025,82.1,85.0,5.4,,42.1000802,-87.7460819
05-016-0360-02-2002,Greeley Elem School,Winnetka SD 36,Cook,Elementary School,K - 4,2025,87.8,87.0,5.8,,42.098374,-87.7212244
05-016-0360-02-2003,Hubbard Woods Elem School,Winnetka SD 36,Cook,Elementary School,K - 4,2025,86.5,87.3,5.0,,42.1141133,-87.7457993
05-016-0360-02-2004,The Skokie School,Winnetka SD 36,Cook,Elementary School,6-May,2025,85.3,73.1,8.3,,42.10528,-87.74711
05-016-0370-02-0000,,Avoca SD 37,Cook,,,2025,88.5,78.0,7.3,,,
05-016-0370-02-1001,Marie Murphy School,Avoca SD 37,Cook,Middle/Junior High School,PK - 8,2025,88.8,78.9,9.6,,42.084186,-87.748094
05-016-0370-02-2003,Avoca West Elem School,Avoca SD 37,Cook,Elementary School,K - 5,2025,88.2,76.9,5.6,,42.076582,-87.765684
05-016-0380-02-0000,,Kenilworth SD 38,Cook,,,2025,87.0,84.6,3.8,,,
05-016-0380-02-2001,The Joseph Sears School,Kenilworth SD 38,Cook,Elementary School,PK - 8,2025,87.0,84.6,3.8,,42.0895684,-87.7174464
05-016-0390-02-0000,,Wilmette SD 39,Cook,,,2025,85.7,77.1,5.7,,,
05-016-0390-02-1008,Wilmette Junior High School,Wilmette SD 39,Cook,Middle/Junior High School,8-Jul,2025,84.4,70.5,8.5,,42.0749943,-87.7404088
05-016-0390-02-2002,Central Elem School,Wilmette SD 39,Cook,Elementary School,K - 4,2025,83.0,84.6,5.7,,42.0769656,-87.7012567
05-016-0390-02-2003,Harper Elem School,Wilmette SD 39,Cook,Elementary School,K - 4,2025,79.1,79.3,,,42.0833156,-87.7362796
05-016-0390-02-2005,McKenzie Elem School,Wilmette SD 39,Cook,Elementary School,K - 4,2025,91.9,90.2,4.0,,42.0748128,-87.7131453
05-016-0390-02-2006,Romona Elem School,Wilmette SD 39,Cook,Elementary School,PK - 4,2025,85.5,82.7,5.8,,42.0739385,-87.7462329
05-016-0390-02-2007,Highcrest Middle School,Wilmette SD 39,Cook,Elementary School,6-May,2025,87.8,76.9,5.4,,42.072784,-87.732056
05-016-0540-04-0000,,Schaumburg CCSD 54,Cook,,,2025,68.7,54.2,20.1,,,
05-016-0540-04-1001,Jane Addams JHS,Schaumburg CCSD 54,Cook,Middle/Junior High School,8-Apr,2025,76.9,49.5,18.8,,42.012878,-88.12025
05-016-0540-04-1012,Robert Frost JHS,Schaumburg CCSD 54,Cook,Middle/Junior High School,8-Jul,2025,71.0,54.4,17.7,,42.005699,-88.088831
05-016-0540-04-1018,Dwight D Eisenhower JHS,Schaumburg CCSD 54,Cook,Middle/Junior High School,8-Jul,2025,70.0,42.5,23.8,,42.0262459,-88.0697036
05-016-0540-04-1019,Margaret Mead JHS,Schaumburg CCSD 54,Cook,Middle/Junior High School,8-Jul,2025,84.5,58.4,16.0,,42.028770228401,-88.080408789253
05-016-0540-04-1020,Helen Keller JHS,Schaumburg CCSD 54,Cook,Middle/Junior High School,8-Jun,2025,71.6,50.3,18.2,,42.024905856902,-88.077845052253
05-016-0540-04-2002,Buzz Aldrin Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6,2025,51.1,49.7,19.9,,42.012595,-88.095504
05-016-0540-04-2003,Neil Armstrong Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6,2025,63.2,51.9,23.2,,42.0503,-88.11674
05-016-0540-04-2005,Campanelli Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6,2025,78.2,73.4,12.6,,42.01964,-88.12045
05-016-0540-04-2006,Winston Churchill Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6,2025,63.5,47.1,20.9,,42.05503,-88.10007
05-016-0540-04-2007,Michael Collins Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6,2025,70.2,69.1,14.7,,42.01997,-88.06935
05-016-0540-04-2008,Everett Dirksen Elementary Sch,Schaumburg CCSD 54,Cook,Elementary School,K - 6,2025,64.5,59.2,17.8,,42.0222789,-88.082618
05-016-0540-04-2009,Thomas Dooley Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6,2025,85.7,78.3,14.6,,42.014477,-88.105061
05-016-0540-04-2010,Fairview Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6,2025,72.5,63.4,21.9,,42.03947,-88.07118
05-016-0540-04-2011,Anne Fox Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6,2025,71.3,54.5,29.8,,42.00919,-88.13368
05-016-0540-04-2013,Hanover Highlands Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6,2025,62.1,47.7,25.8,,41.99892,-88.1398
05-016-0540-04-2015,Nathan Hale Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6,2025,66.2,55.9,18.1,,42.00503,-88.11146
05-016-0540-04-2018,Lakeview Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6,2025,62.8,43.5,29.1,,42.03919,-88.09452
05-016-0540-04-2019,MacArthur International Spanish Academy,Schaumburg CCSD 54,Cook,Elementary School,K - 6,2025,59.2,47.1,16.3,,42.059764,-88.1073058
05-016-0540-04-2022,John Muir Literacy Academy,Schaumburg CCSD 54,Cook,Elementary School,K - 6,2025,62.0,43.3,35.4,,42.0610114,-88.1250529
05-016-0540-04-2023,Adolph Link Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6,2025,65.4,59.0,16.7,,42.00642,-88.03924
05-016-0540-04-2026,Albert Einstein Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6,2025,50.8,41.1,17.3,,42.01475,-88.13591
05-016-0540-04-2027,Hoover Math and Science Academy,Schaumburg CCSD 54,Cook,Elementary School,K - 6,2025,77.7,63.4,19.2,,42.032243,-88.118117
05-016-0540-04-2028,Adlai Stevenson Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6,2025,57.4,44.1,24.4,,41.99864,-88.04007
05-016-0540-04-2029,Frederick Nerge Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6,2025,64.3,57.8,18.3,,41.9967322,-88.0684809
05-016-0540-04-2030,Enders-Salk Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6,2025,64.9,52.9,23.8,,42.0328688,-88.1002467
05-016-0540-04-2031,Elizabeth Blackwell Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6,2025,62.7,48.6,23.4,,42.031213,-88.131508
05-016-0540-04-2032,Lincoln Prairie School,Schaumburg CCSD 54,Cook,Elementary School,K - 8,2025,62.8,56.6,14.3,,42.06308,-88.03973
05-016-0540-04-3111,The District 54 Early Learning Center,Schaumburg CCSD 54,Cook,Special School,PK,2025,,,,,42.028714,-88.066744
05-016-0570-02-0000,,Mount Prospect SD 57,Cook,,,2025,65.2,57.7,11.9,,,
05-016-0570-02-1004,Lincoln Middle School,Mount Prospect SD 57,Cook,Middle/Junior High School,8-Jun,2025,60.4,55.6,14.5,,42.05955,-87.9475
05-016-0570-02-2002,Fairview Elem School,Mount Prospect SD 57,Cook,Elementary School,5-Feb,2025,68.6,60.3,10.3,,42.072327,-87.9465859
05-016-0570-02-2005,Lions Park Elem School,Mount Prospect SD 57,Cook,Elementary School,5-Feb,2025,72.2,59.4,10.6,,42.0563215,-87.9318448
05-016-0570-02-2008,Westbrook Early Learning Cntr,Mount Prospect SD 57,Cook,Elementary School,PK - 1,2025,,,9.6,,42.052437,-87.966636
05-016-0590-04-0000,,Comm Cons SD 59,Cook,,,2025,45.8,37.8,22.9,,,
05-016-0590-04-1010,Grove Jr High School,Comm Cons SD 59,Cook,Middle/Junior High School,8-Jun,2025,40.6,26.7,23.8,,41.914951,-88.209481
05-016-0590-04-1012,Holmes Jr High School,Comm Cons SD 59,Cook,Middle/Junior High School,8-Jun,2025,46.9,40.9,26.7,,41.914951,-88.209481
05-016-0590-04-1016,Friendship Jr High School,Comm Cons SD 59,Cook,Middle/Junior High School,8-Jun,2025,53.6,38.9,21.1,,43.983344840643,-69.331688931022
05-016-0590-04-2001,Brentwood Elem School,Comm Cons SD 59,Cook,Elementary School,K - 5,2025,46.5,40.8,14.8,,42.0456083,-87.9278532
05-016-0590-04-2002,Adm Richard E Byrd Elem School,Comm Cons SD 59,Cook,Elementary School,K - 5,2025,34.1,28.0,24.1,,41.7425588,-87.7458097
05-016-0590-04-2003,Clearmont Elem School,Comm Cons SD 59,Cook,Elementary School,K - 5,2025,54.0,50.5,22.4,,41.9999104,-87.988985
05-016-0590-04-2006,Devonshire School,Comm Cons SD 59,Cook,Elementary School,K - 5,2025,50.6,43.4,22.9,,42.02737,-87.92599
05-016-0590-04-2008,Forest View Elem School,Comm Cons SD 59,Cook,Elementary School,K - 5,2025,60.3,54.0,22.0,,42.0545473,-87.9670277
05-016-0590-04-2009,Robert Frost Elem School,Comm Cons SD 59,Cook,Elementary School,K - 5,2025,44.2,40.5,24.3,,42.099823,-87.898733
05-016-0590-04-2014,John Jay Elem School,Comm Cons SD 59,Cook,Elementary School,K - 5,2025,29.5,32.9,32.4,,42.041098,-87.968456
05-016-0590-04-2016,Juliette Low Elem School,Comm Cons SD 59,Cook,Elementary School,K - 5,2025,41.9,39.3,18.0,,42.0558745,-87.9875453
05-016-0590-04-2018,Rupley Elem School,Comm Cons SD 59,Cook,Elementary School,K - 5,2025,24.0,21.0,37.0,,42.0217,-87.98507
05-016-0590-04-2019,Salt Creek Elem School,Comm Cons SD 59,Cook,Elementary School,K - 5,2025,41.3,37.2,15.4,,42.00305,-87.999332
05-016-0590-04-2020,Ridge Family Center for Learning,Comm Cons SD 59,Cook,Elementary School,K - 5,2025,71.1,70.2,14.3,,31.977711512,34.979217692
05-016-0590-04-3002,The Early Learning Center,Comm Cons SD 59,Cook,Special School,PK,2025,,,,,42.052437,-87.966636
05-016-0620-04-0000,,CCSD 62,Cook,,,2025,59.2,49.0,21.2,,,
05-016-0620-04-1001,Algonquin Middle School,CCSD 62,Cook,Middle/Junior High School,8-Jun,2025,53.8,45.4,25.0,,42.1619501,-88.2820575
05-016-0620-04-1003,Chippewa Middle School,CCSD 62,Cook,Middle/Junior High School,8-Jun,2025,55.4,40.7,20.8,,42.0550597,-87.9078781
05-016-0620-04-2001,Iroquois Community School,CCSD 62,Cook,Elementary School,K - 8,2025,77.1,60.8,12.6,,42.0106013,-87.8785463
05-016-0620-04-2002,Central Elem School,CCSD 62,Cook,Elementary School,K - 5,2025,65.6,63.0,16.9,,40.385258,-90.1518
05-016-0620-04-2004,Cumberland Elem School,CCSD 62,Cook,Elementary School,K - 5,2025,79.0,70.3,12.9,,39.257522,-88.196523
05-016-0620-04-2005,Forest Elem School,CCSD 62,Cook,Elementary School,PK - 5,2025,69.1,60.6,12.7,,42.028038,-87.905524
05-016-0620-04-2008,North Elementary School,CCSD 62,Cook,Elementary School,K - 5,2025,42.3,35.9,35.0,,39.3997839,-87.6993294
05-016-0620-04-2009,Orchard Place Elem School,CCSD 62,Cook,Elementary School,K - 5,2025,38.6,34.6,20.4,,29.602496780035,-95.969544428355
05-016-0620-04-2010,Plainfield Elem School,CCSD 62,Cook,Elementary School,K - 5,2025,64.1,47.9,23.6,,42.0191148,-87.9025412
05-016-0620-04-2011,South Elem School,CCSD 62,Cook,Elementary School,K - 5,2025,53.1,47.6,19.3,,42.020062,-87.885959
05-016-0620-04-2012,Terrace Elem School,CCSD 62,Cook,Elementary School,K - 5,2025,70.4,63.5,16.2,,42.0389376,-87.9178478
05-016-0630-02-0000,,East Maine SD 63,Cook,,,2025,49.6,38.0,27.7,,,
05-016-0630-02-1003,Gemini Middle School,East Maine SD 63,Cook,Middle/Junior High School,8-Jun,2025,55.2,35.9,25.7,,42.04271,-87.83933
05-016-0630-02-2006,V H Nelson Elem School,East Maine SD 63,Cook,Elementary School,K - 5,2025,39.1,33.5,23.2,,42.04364,-87.82062
05-016-0630-02-2009,Mark Twain Elem School,East Maine SD 63,Cook,Elementary School,K - 5,2025,39.9,41.8,33.6,,43.527566,-96.7294116
05-016-0630-02-2010,Washington Elem School,East Maine SD 63,Cook,Elementary School,K - 5,2025,49.0,47.0,18.3,,42.05558,-87.8259
05-016-0630-02-2011,Melzer School,East Maine SD 63,Cook,Elementary School,K - 5,2025,58.3,48.1,26.4,,42.03336,-87.8834
05-016-0630-02-2012,Apollo Elem School,East Maine SD 63,Cook,Elementary School,K - 5,2025,37.1,30.5,37.9,,42.0642,-87.85757
05-016-0630-02-3001,Early Learning Center,East Maine SD 63,Cook,Special School,PK,2025,,,,,41.528504,-90.410472
05-016-0640-04-0000,,Park Ridge CCSD 64,Cook,,,2025,78.6,68.7,8.9,,,
05-016-0640-04-1006,Emerson Middle School,Park Ridge CCSD 64,Cook,Middle/Junior High School,8-Jun,2025,78.4,61.0,10.6,,42.0265676,-87.8334682
05-016-0640-04-1007,Lincoln Middle School,Park Ridge CCSD 64,Cook,Middle/Junior High School,8-Jun,2025,78.5,64.1,8.0,,42.007808,-87.843666
05-016-0640-04-2001,George B Carpenter Elem School,Park Ridge CCSD 64,Cook,Elementary School,K - 5,2025,82.1,80.7,7.0,,42.01503,-87.85062
05-016-0640-04-2004,Eugene Field Elem School,Park Ridge CCSD 64,Cook,Elementary School,K - 5,2025,78.8,72.1,7.5,,42.0210429,-87.8242502
05-016-0640-04-2005,Franklin Elementary School,Park Ridge CCSD 64,Cook,Elementary School,K - 5,2025,77.2,76.1,10.8,,42.031836,-87.857063
05-016-0640-04-2011,Theodore Roosevelt Elem School,Park Ridge CCSD 64,Cook,Elementary School,K - 5,2025,78.9,74.7,7.8,,41.9983,-87.83395
05-016-0640-04-2012,George Washington Elem School,Park Ridge CCSD 64,Cook,Elementary School,K - 5,2025,78.0,76.0,9.6,,42.005783,-87.846278
05-016-0640-04-3001,Jefferson School,Park Ridge CCSD 64,Cook,Special School,PK,2025,,,,,32.7062063,-103.1494231
05-016-0650-04-0000,,Evanston CCSD 65,Cook,,,2025,64.1,52.6,17.2,,,
05-016-0650-04-1002,Chute Middle School,Evanston CCSD 65,Cook,Middle/Junior High School,8-Jun,2025,66.1,39.7,21.0,,42.0262404,-87.6916711
05-016-0650-04-1007,Haven Middle School,Evanston CCSD 65,Cook,Middle/Junior High School,8-Jun,2025,67.8,53.1,17.2,,42.0615639,-87.6978951
05-016-0650-04-1012,Nichols Middle School,Evanston CCSD 65,Cook,Middle/Junior High School,8-Jun,2025,70.6,56.6,17.9,,42.037241,-87.6827685
