NAME,median_household_income,zip_code,ZIP,TRACT,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO,county_fips
ZCTA5 60411,56627,60411,60411,17031828801,CHICAGO HEIGHTS,IL,0.04334472466150452,0.08924018357980622,0.014934858595487766,0.043365810451727195,17031
ZCTA5 60411,56627,60411,60411,17031829402,CHICAGO HEIGHTS,IL,0,0.0005099439061703213,0,3.54295837023915e-05,17031
ZCTA5 60411,56627,60411,60411,17031829200,CHICAGO HEIGHTS,IL,0.09737422675952762,0.07598164201937786,0.16142357801080395,0.10302922940655447,17031
ZCTA5 60411,56627,60411,60411,17031828802,CHICAGO HEIGHTS,IL,0.04909806635809145,0.013768485466598673,0.0009532888465204957,0.04127546501328609,17031
ZCTA5 60411,56627,60411,60411,17031828507,CHICAGO HEIGHTS,IL,0.06523337803348185,0.017338092809790925,0.008261836669844296,0.05555358724534987,17031
ZCTA5 60411,56627,60411,60411,17031828702,CHICAGO HEIGHTS,IL,0.0005190984989401739,0.010198878123406425,0.0006355258976803305,0.0012046058458813108,17031
ZCTA5 60411,56627,60411,60411,17031829301,CHICAGO HEIGHTS,IL,0.050222779772461826,0.04742478327383988,0.013028280902446775,0.04588131089459699,17031
ZCTA5 60411,56627,60411,60411,17031828505,CHICAGO HEIGHTS,IL,0.03417398451356145,0.062213156552779196,0.008579599618684462,0.03326837909654561,17031
ZCTA5 60415,69389,60415,60415,17031822302,CHICAGO RIDGE,IL,0.000306044376434583,0.008849557522123894,0,0.0009563658099222953,17031
ZCTA5 60415,69389,60415,60415,17031823001,CHICAGO RIDGE,IL,0.4416220351951033,0.6917404129793511,0.5234375,0.4731619844590556,17031
ZCTA5 60415,69389,60415,60415,17031822400,CHICAGO RIDGE,IL,0.12180566182096404,0.035398230088495575,0.15364583333333334,0.11918708906156605,17031
ZCTA5 60415,69389,60415,60415,17031823101,CHICAGO RIDGE,IL,0.004896710022953328,0.004424778761061947,0,0.0041841004184100415,17031
ZCTA5 60415,69389,60415,60415,17031823002,CHICAGO RIDGE,IL,0.43136954858454474,0.25958702064896755,0.3229166666666667,0.40251046025104603,17031
ZCTA5 60417,93346,60417,60417,17031829700,CRETE,IL,0,0.002770083102493075,0,0.00014396775122372588,17031
ZCTA5 60417,93346,60417,60417,17031828504,CRETE,IL,0.002999210734017364,0.002770083102493075,0,0.0028793550244745176,17031
