school_id,school_name,district,county,school_type,grades_served
06-016-0800-02-2002,J Leigh Elem School,Norridge SD 80,Cook,Elementary School,PK - 4
06-016-0810-02-0000,,Schiller Park SD 81,Cook,,
06-016-0810-02-1001,Lincoln Middle School,Schiller Park SD 81,Cook,Middle/Junior High School,6 - 8
06-016-0810-02-2001,John F Kennedy Elem School,Schiller Park SD 81,Cook,Elementary School,PK - 3
06-016-0810-02-2003,Washington Elem School,Schiller Park SD 81,Cook,Elementary School,4 - 5
06-016-0830-02-0000,,Mannheim SD 83,Cook,,
06-016-0830-02-1003,Mannheim Middle School,Mannheim SD 83,Cook,Middle/Junior High School,6 - 8
06-016-0830-02-2002,Scott Elementary School,Mannheim SD 83,Cook,Elementary School,K - 5
06-016-0830-02-2004,Roy Elem School,Mannheim SD 83,Cook,Elementary School,K - 5
06-016-0830-02-2005,Westdale Elem School,Mannheim SD 83,Cook,Elementary School,K - 5
06-016-0830-02-3002,Mannheim Early Childhood Center,Mannheim SD 83,Cook,Special School,PK
06-016-0840-02-0000,,Franklin Park SD 84,Cook,,
06-016-0840-02-1002,Hester Jr High School,Franklin Park SD 84,Cook,Middle/Junior High School,6 - 8
06-016-0840-02-2003,North Elem School,Franklin Park SD 84,Cook,Elementary School,PK - 5
06-016-0840-02-2004,Dan H Pietrini Elem School,Franklin Park SD 84,Cook,Elementary School,PK - 5
06-016-0840-02-2005,Passow Elementary School,Franklin Park SD 84,Cook,Elementary School,PK - 5
06-016-0845-02-0000,,Rhodes SD 84-5,Cook,,
06-016-0845-02-2001,Rhodes Elem School,Rhodes SD 84-5,Cook,Elementary School,PK - 8
06-016-0855-02-0000,,River Grove SD 85-5,Cook,,
06-016-0855-02-2001,River Grove Elem School,River Grove SD 85-5,Cook,Elementary School,PK - 8
06-016-0860-02-0000,,Union Ridge SD 86,Cook,,
06-016-0860-02-2001,Union Ridge Elem School,Union Ridge SD 86,Cook,Elementary School,PK - 8
06-016-0870-02-0000,,Berkeley SD 87,Cook,,
06-016-0870-02-1005,MacArthur Middle School,Berkeley SD 87,Cook,Middle/Junior High School,6 - 8
06-016-0870-02-1006,Northlake Middle School,Berkeley SD 87,Cook,Middle/Junior High School,6 - 8
06-016-0870-02-2003,Jefferson Primary School,Berkeley SD 87,Cook,Elementary School,PK - 2
06-016-0870-02-2007,J W Riley Intermediate School,Berkeley SD 87,Cook,Elementary School,3 - 5
06-016-0870-02-2008,Sunnyside Intermediate School,Berkeley SD 87,Cook,Elementary School,3 - 5
06-016-0870-02-2010,Whittier Primary School,Berkeley SD 87,Cook,Elementary School,PK - 2
06-016-0880-02-0000,,Bellwood SD 88,Cook,,
06-016-0880-02-1007,Roosevelt Middle School,Bellwood SD 88,Cook,Middle/Junior High School,6 - 8
06-016-0880-02-2001,Grant Elem School,Bellwood SD 88,Cook,Elementary School,K - 5
06-016-0880-02-2003,Lincoln Elementary School,Bellwood SD 88,Cook,Elementary School,K - 5
06-016-0880-02-2005,McKinley Elem School,Bellwood SD 88,Cook,Elementary School,K - 5
06-016-0880-02-2006,Thurgood Marshall Elem School,Bellwood SD 88,Cook,Elementary School,K - 5
06-016-0880-02-2009,Grant Primary,Bellwood SD 88,Cook,Elementary School,PK
06-016-0880-02-3003,Early Childhood Cntr/Lincoln Primary,Bellwood SD 88,Cook,Special School,PK
06-016-0890-02-0000,,Maywood-Melrose Park-Broadview 89,Cook,,
06-016-0890-02-1001,Irving Middle School,Maywood-Melrose Park-Broadview 89,Cook,Middle/Junior High School,5 - 8
06-016-0890-02-1002,Stevenson Middle School,Maywood-Melrose Park-Broadview 89,Cook,Middle/Junior High School,6 - 8
