school_id,school_name,district,county,school_type,grades_served,year,y_ela_prof,y_math_prof,y_chronic_abs,y_grad_4yr
05-016-0590-04-2016,Juliette Low Elem School,Comm Cons SD 59,Cook,Elementary School,K - 5,2025,41.9,39.3,18,
05-016-0590-04-2018,Rupley Elem School,Comm Cons SD 59,Cook,Elementary School,K - 5,2025,24,21,37,
05-016-0590-04-2019,Salt Creek Elem School,Comm Cons SD 59,Cook,Elementary School,K - 5,2025,41.3,37.2,15.4,
05-016-0590-04-2020,Ridge Family Center for Learning,Comm Cons SD 59,Cook,Elementary School,K - 5,2025,71.1,70.2,14.3,
05-016-0590-04-3002,The Early Learning Center,Comm Cons SD 59,Cook,Special School,PK,2025,,,,
05-016-0620-04-0000,,CCSD 62,Cook,,,2025,59.2,49,21.2,
05-016-0620-04-1001,Algonquin Middle School,CCSD 62,Cook,Middle/Junior High School,8-Jun,2025,53.8,45.4,25,
05-016-0620-04-1003,Chippewa Middle School,CCSD 62,Cook,Middle/Junior High School,8-Jun,2025,55.4,40.7,20.8,
05-016-0620-04-2001,Iroquois Community School,CCSD 62,Cook,Elementary School,K - 8,2025,77.1,60.8,12.6,
05-016-0620-04-2002,Central Elem School,CCSD 62,Cook,Elementary School,K - 5,2025,65.6,63,16.9,
05-016-0620-04-2004,Cumberland Elem School,CCSD 62,Cook,Elementary School,K - 5,2025,79,70.3,12.9,
05-016-0620-04-2005,Forest Elem School,CCSD 62,Cook,Elementary School,PK - 5,2025,69.1,60.6,12.7,
05-016-0620-04-2008,North Elementary School,CCSD 62,Cook,Elementary School,K - 5,2025,42.3,35.9,35,
05-016-0620-04-2009,Orchard Place Elem School,CCSD 62,Cook,Elementary School,K - 5,2025,38.6,34.6,20.4,
05-016-0620-04-2010,Plainfield Elem School,CCSD 62,Cook,Elementary School,K - 5,2025,64.1,47.9,23.6,
05-016-0620-04-2011,South Elem School,CCSD 62,Cook,Elementary School,K - 5,2025,53.1,47.6,19.3,
05-016-0620-04-2012,Terrace Elem School,CCSD 62,Cook,Elementary School,K - 5,2025,70.4,63.5,16.2,
05-016-0630-02-0000,,East Maine SD 63,Cook,,,2025,49.6,38,27.7,
05-016-0630-02-1003,Gemini Middle School,East Maine SD 63,Cook,Middle/Junior High School,8-Jun,2025,55.2,35.9,25.7,
05-016-0630-02-2006,V H Nelson Elem School,East Maine SD 63,Cook,Elementary School,K - 5,2025,39.1,33.5,23.2,
05-016-0630-02-2009,Mark Twain Elem School,East Maine SD 63,Cook,Elementary School,K - 5,2025,39.9,41.8,33.6,
05-016-0630-02-2010,Washington Elem School,East Maine SD 63,Cook,Elementary School,K - 5,2025,49,47,18.3,
05-016-0630-02-2011,Melzer School,East Maine SD 63,Cook,Elementary School,K - 5,2025,58.3,48.1,26.4,
05-016-0630-02-2012,Apollo Elem School,East Maine SD 63,Cook,Elementary School,K - 5,2025,37.1,30.5,37.9,
05-016-0630-02-3001,Early Learning Center,East Maine SD 63,Cook,Special School,PK,2025,,,,
05-016-0640-04-0000,,Park Ridge CCSD 64,Cook,,,2025,78.6,68.7,8.9,
05-016-0640-04-1006,Emerson Middle School,Park Ridge CCSD 64,Cook,Middle/Junior High School,8-Jun,2025,78.4,61,10.6,
05-016-0640-04-1007,Lincoln Middle School,Park Ridge CCSD 64,Cook,Middle/Junior High School,8-Jun,2025,78.5,64.1,8,
05-016-0640-04-2001,George B Carpenter Elem School,Park Ridge CCSD 64,Cook,Elementary School,K - 5,2025,82.1,80.7,7,
05-016-0640-04-2004,Eugene Field Elem School,Park Ridge CCSD 64,Cook,Elementary School,K - 5,2025,78.8,72.1,7.5,
05-016-0640-04-2005,Franklin Elementary School,Park Ridge CCSD 64,Cook,Elementary School,K - 5,2025,77.2,76.1,10.8,
05-016-0640-04-2011,Theodore Roosevelt Elem School,Park Ridge CCSD 64,Cook,Elementary School,K - 5,2025,78.9,74.7,7.8,
05-016-0640-04-2012,George Washington Elem School,Park Ridge CCSD 64,Cook,Elementary School,K - 5,2025,78,76,9.6,
05-016-0640-04-3001,Jefferson School,Park Ridge CCSD 64,Cook,Special School,PK,2025,,,,
05-016-0650-04-0000,,Evanston CCSD 65,Cook,,,2025,64.1,52.6,17.2,
05-016-0650-04-1002,Chute Middle School,Evanston CCSD 65,Cook,Middle/Junior High School,8-Jun,2025,66.1,39.7,21,
05-016-0650-04-1007,Haven Middle School,Evanston CCSD 65,Cook,Middle/Junior High School,8-Jun,2025,67.8,53.1,17.2,
05-016-0650-04-1012,Nichols Middle School,Evanston CCSD 65,Cook,Middle/Junior High School,8-Jun,2025,70.6,56.6,17.9,
05-016-0650-04-2004,Dawes Elementary School,Evanston CCSD 65,Cook,Elementary School,K - 5,2025,69.3,60,24.1,
05-016-0650-04-2005,Dewey Elem School,Evanston CCSD 65,Cook,Elementary School,K - 5,2025,74,72.7,14.7,
05-016-0650-04-2009,Lincoln Elem School,Evanston CCSD 65,Cook,Elementary School,K - 5,2025,61.2,54.8,11.9,
05-016-0650-04-2010,Lincolnwood Elem School,Evanston CCSD 65,Cook,Elementary School,K - 5,2025,59.6,66,11.6,
05-016-0650-04-2014,Oakton Elem School,Evanston CCSD 65,Cook,Elementary School,K - 5,2025,50.5,47.4,23.4,
05-016-0650-04-2015,Orrington Elem School,Evanston CCSD 65,Cook,Elementary School,K - 5,2025,74.6,75.4,6.9,
05-016-0650-04-2019,Walker Elem School,Evanston CCSD 65,Cook,Elementary School,K - 5,2025,61.2,52.1,14.2,
05-016-0650-04-2020,Washington Elem School,Evanston CCSD 65,Cook,Elementary School,K - 5,2025,58.1,47.7,15.8,
05-016-0650-04-2021,Willard Elem School,Evanston CCSD 65,Cook,Elementary School,K - 5,2025,63.1,65.1,12.8,
05-016-0650-04-2022,Dr ML King Jr Literary & Fine Arts Sch,Evanston CCSD 65,Cook,Elementary School,K - 8,2025,58.4,44.6,17.1,
05-016-0650-04-2023,Kingsley Elementary School,Evanston CCSD 65,Cook,Elementary School,K - 5,2025,64.2,56.1,16.4,
05-016-0650-04-2024,Dr Bessie Rhodes Sch Global Studies,Evanston CCSD 65,Cook,Elementary School,K - 8,2025,31.4,22.8,26.4,
05-016-0650-04-3020,Joseph E Hill Education Center,Evanston CCSD 65,Cook,Special School,PK,2025,,,,
05-016-0670-02-0000,,Golf ESD 67,Cook,,,2025,60,60.6,17.2,
05-016-0670-02-1002,Golf Middle School,Golf ESD 67,Cook,Middle/Junior High School,8-May,2025,62.1,59.9,20.1,
05-016-0670-02-2003,Hynes Elem School,Golf ESD 67,Cook,Elementary School,PK - 4,2025,55,62.1,14.1,
05-016-0680-02-0000,,Skokie SD 68,Cook,,,2025,58.8,43.2,18.5,
05-016-0680-02-1002,Old Orchard Jr High School,Skokie SD 68,Cook,Middle/Junior High School,PK - 8,2025,63,41,21.4,
05-016-0680-02-2001,Devonshire Elem School,Skokie SD 68,Cook,Elementary School,K - 5,2025,47.2,39.1,22.3,
05-016-0680-02-2004,Jane Stenson School,Skokie SD 68,Cook,Elementary School,K - 5,2025,53,41.6,16.8,
05-016-0680-02-2005,Highland Elementary School,Skokie SD 68,Cook,Elementary School,K - 5,2025,65.8,57.9,9.6,
05-016-0690-02-0000,,Skokie SD 69,Cook,,,2025,44.2,36.7,22.6,
05-016-0690-02-1003,Lincoln Jr High School,Skokie SD 69,Cook,Middle/Junior High School,PK - 8,2025,43.6,31.3,25.1,
05-016-0690-02-2001,Thomas Edison Elem School,Skokie SD 69,Cook,Elementary School,PK - 5,2025,44.8,41.7,16.8,
05-016-0690-02-2004,Madison Elem School,Skokie SD 69,Cook,Elementary School,PK - 2,2025,,,26.5,
05-016-0700-02-0000,,Morton Grove SD 70,Cook,,,2025,75.4,67.4,13.1,
05-016-0700-02-2003,Park View Elem School,Morton Grove SD 70,Cook,Elementary School,PK - 8,2025,75.4,67.4,13.1,
05-016-0710-02-0000,,Niles ESD 71,Cook,,,2025,60.5,43,11.3,
05-016-0710-02-2001,Clarence E Culver School,Niles ESD 71,Cook,Elementary School,PK - 8,2025,60.5,43,11.3,
05-016-0720-02-0000,,Fairview SD 72,Cook,,,2025,75.4,56.7,13.8,
05-016-0720-02-2002,Fairview South Elementary School,Fairview SD 72,Cook,Elementary School,PK - 8,2025,75.4,56.7,13.8,
05-016-0730-02-0000,,East Prairie SD 73,Cook,,,2025,73.2,53.4,15.4,
05-016-0730-02-2001,East Prairie Elem School,East Prairie SD 73,Cook,Elementary School,PK - 8,2025,73.2,53.4,15.4,
05-016-0735-02-0000,,Skokie SD 73-5,Cook,,,2025,71.7,49.1,16.7,
05-016-0735-02-1003,Oliver McCracken Middle School,Skokie SD 73-5,Cook,Middle/Junior High School,8-Jun,2025,78.7,45.3,16,
05-016-0735-02-2002,John Middleton Elem School,Skokie SD 73-5,Cook,Elementary School,5-Jan,2025,64.2,53.1,16.8,
